text,user,location,genre,sentiment
Faithfully Journey cover at KTV【再up】 ↓Check this Full Pls↓  カラオケ 歌ってみた Journey Faithfully 洋楽 ロック KARAOKE ROCKMUSIC ROCK FOLLOWYOU BAR 相互フォロー 相互フォロー歓迎 相互チャンネル登録 80smusic ,ManilaYanagi,National Capital Region Repub,rock,0.35
 Pure rocknroll Brother Amazing Love it Lets rock   rock rockmusic HardRock newalbum classicrock newmusic2020 Playlist radiorock composer songwriter multiinstrumentalist newsongs tuesdayvibes,AwanMusic,,rock,0.43809523809523815
Visit my page for some exciting music  badfrombirth brainycv Nwkstudios nowplaying rock music newmusic love hiphop indiemusic indieartist playing rockmusic thursdaymusic thursdaythought reggaemusic Afrobeats indiecountrymusic sundayfu ,zeerowbadman,Lagos Nigeria,rock,0.4
Coming this September NewReleases2020 music HardRock grunge rockmusic ,ThievesTotem,OSLO,rock,0.0
Just a cool still  indie indiemusic bluesmusic rockandroll rocknroll deepmusic acoustic acousticguitar bluesharp harmonica rockmusic psychedelics harmonicaman band  ,thehaliproject,Halifax Nova Scotia,rock,0.175
Check this fascinating artist Lebanese RockMusic pioneer amp HumanitarianActivist   Listen to her song Love is Blind   SingerSongwriter RockStar PopMusic ,ThomasVitins,Brummana Lebanon,rock,0.2333333333333333
Watch s beautiful artistic MusicVideos the first Lebanese artist on MTV    SingerSongwriter SingerSongwriter RockMusic PopMusic ,ThomasVitins,Brummana Lebanon,rock,0.4777777777777778
Song of the day Enjoy s emotional cover of the classic HitSong Never Never Never    LydiaCanaan SingerSongwriter RockStar RockMusic PopMusic ,ThomasVitins,Brummana Lebanon,rock,0.18888888888888888
GOOD DAY THE NEWEST ROCK COUNTRY FOLK BLUES AND JAZZ ON JAM RADIO  ONLY THE NEWEST  rock classicrock countrymusic folkmusic BluesMusic Jazz folk Radio OnlineRadio radiostation music world listen nowplaying ListenNow NewMusic rockmusic ,jamonlineradio,Spain,rock,0.35
Rock me industrialrock rockmusic spotify ,Burakknet,İzmirFlorida,rock,0.0
Send tunes gt   Best Alternative amp Indie Rock   indiemusic rockmusic alternative,TrishaMicheals,,rock,0.5
Joker Joe doing his bit for Barnsley Live 2020  people barnsley zombie radio bbcyorkshire rockband vocalist guitarist drummer rockmusic joker bbc plectrum musiclover singer songwriter acousticmusic YouTube popular pop letsgo spotify facebook ,AmongJoker,,rock,0.36818181818181817
NEW MUSIC Brainy Cv  Firewood Audio and Video Download  brainycv firewood Nwkstudios gmlentertainment nowplaying rock music newmusic love hiphop indiemusic indieartist playing rockmusic thursdaymusic thursdaythought reggaemusic Afro,zeerowbadman,Lagos Nigeria,rock,0.3181818181818182
Check out Robots Cannot Love  background music for videos amp media   stockmusic productionmusic musicformedia musicforvideos instrumental music backgroundmusic groovy dark indie dancemusic rockmusic action ,fabclaxton,Canada,rock,0.11249999999999999
Video Teaser Lords Of Salem Teaser 4   Musiceternal LordsOfSalem HellOverSalem NewAlbum Teaser Gothic RockMusic MetalMusic Germany ,MusicEternal1,,rock,0.0
male rockmusic vocalist ,joevecchiorocks,the web,rock,0.0
 Will Never Marry livefootageBlackpoolSheffieldvideoedit Morrissey10151990 Morrissey TheSmiths BonaDrag  alternativerock postpunk britpop collegeradio indierock rockmusic alternativemusic ️️️ MUSICvideo GOODmusic  ,trickykid008,,rock,0.0
☆ Subscribe ☆ andrespring omelhordorock acousticrocklive tour photooftheday rock youtube channel andrespringmusic followme rockmusic borntorock ,bandaas,Brasil,rock,0.0
New single Colours out now at Bandcamp    NewRelease NewMusic musician originalmusic guitar rockmusic indiemusic,CornelMmusic,Wales United Kingdom,rock,0.032467532467532464
Check out Aggressive Fast Alternative Rock  background music for videos amp media   stockmusic productionmusic musicformedia musicforvideos instrumental music backgroundmusic rockmusic alternative ,fabclaxton,Canada,rock,0.2
Thanks for the airplay NewMusicMonday rockmusic indiemusic MondayMotivation ,Networktheband,San Diego California,rock,0.2
Thanks for including our song Shades NewMusicAlert SPOTIFYPLAYLIST rockmusic IndieMusic MondayMotivation ,Networktheband,San Diego California,rock,0.2
Writing Pencil paper piano Back to the old ways     music newmusic songwriter songwriting popmusic rockmusic filmmusic newalbum inspiration composer writing songwriting singersongwriter ,sylvainmarcotte,Between The Lines,rock,0.05
Therapy or something stronger rockmusic,IzzyTaft,Phoenix AZ,rock,0.0
Photo By Teddy Kelley  Unsplash  asiatravel culture landscapephotography photography rockmusic ,RethinkCancer,New York NY USA,rock,0.0
6231973 George Harrison started a fiveweek run at No1 on the US album chart with Living In The Material World his second US No1 rockmusic ,ForgeTheRubicon,South Florida,rock,0.0
Killing it    MUSIC MUSICISLIFE METAL metalheads metalcore nwoahm GrooveMetal deathcore liveformusic rock rockmusic killclif killclifmusic numetal thrashmetal punkhardcore nucore AltMetal ,killclif,,rock,0.0
Music Video Interference by Golden Apes   Musiceternal GoldenApes Interference Kasbek MusicVideo GothicMusic RockMusic Germany ,MusicEternal1,,rock,0.3
 finally got  to react to  Real Existence You should come check out the premier in 10 minutes  Metal BandMaid JapaneseMusic RockMusic rocknroll OrganicFamily IGNITE MusicVideo akane ,IGNITEMG,,rock,0.1
Journey or Cheap Trick Let me hear it Whos your favorite soundcheckwithgentry hardrock poprock classicrock rocknroll rockmusic mainstreamrock rockrageradio rock metal ,jegentry66,Shreveport La,rock,0.45
Mali Music  Ready Aim Official Video  via  I still love this song by Mali I love that this Mali not just christian hit but also is Biggest Rock Hit as well I love it not lettin anything shoot ya down RockMusic spiritualmessage goodmusic,JosephAntonio25,Charleston SC USA,rock,0.25740740740740736
One more drawing for todayits my version of Jim Morrison or something like Morrison soundcheckwithgentry hardrock rockmusic rocknroll poprock classicrock rockrageradio rock ,jegentry66,Shreveport La,rock,0.5
Follow us for all the latest RockMetal news memes and much more meme memes metalmeme metalmemes musicmemes instameme instamemes funnymeme funnymemes funny rock music hardrock headbanger instadaily rockmusic instafunny memesdaily dailymemes dailymeme lol ,HeadRushTV,Boston MA USA,rock,0.5125
 Five Finger Death Punch Flat Bill Snapback Hat  Check it out    rocknroll rock music s guitar livemusic rockandroll rockmusic ,LicensedProduct,online worldwide,rock,-0.025
Just one man Let It Go now available on Pandora Spotify Apple Music and more RockMusic TattedMen BeardedAndTattooed BeardedAndTatted SingerSongwriter SoulMusic OneManBand AfroPunk ,MarwanMaurice,Columbus OH,rock,0.45
deftones whitepony rocknroll metal rockmusic music party partyzone 20yearanniversary Deftones  White Pony 20th Anniversary Listening Party  via ,alodnipse1,California USA,rock,0.0
Rage Against The Machines Streaming Numbers Surge Amidst Protests classicrock rocknroll rockmusic rockband ,KGBSanDiego,San Diego CA,rock,0.0
Enter the world of musician and sound engineer Burak Yerebakan read the interview  rockmusic musictech interview Istanbul LosAngeles ,fourculture,global ,rock,0.4
Come on in to our Skype Chat room where  awaits your RockMusic request    Radio As It Should Be  MusicMonday,BGLRadio,DJs from North AmericaUK ,rock,0.0
Which one is your favorite Ace Frehley or Angus Young Sound off now soundcheckwithgentry rockmusic hardrock metal heavymetal rocknroll mainstreamrock rock classicrock rockrageradio ,jegentry66,Shreveport La,rock,0.3333333333333333
soon alternative alternativerock altrock postrock rock rockmusic gothrock altcountry countryrock songwriter thegodmachine rockandroll poprock HardRock ,mercylanemusic,Twin Peaks,rock,0.0
